Date,Rolling 10,Rolling 20,Rolling 50,Rolling 100,Rolling 200
2023-01-13,291719,241216,264463,330335,408767
2023-01-17,308141,244102,263635,329248,408167
2023-01-18,305847,233743,260283,328208,406131
2023-01-19,299750,231078,254753,326923,404402
2023-01-20,299694,233014,256683,326565,403682
2023-01-23,225856,226808,254333,324564,402480
2023-01-24,224877,230072,254118,320950,401391
2023-01-25,194404,228935,252660,317012,400392
2023-01-26,182661,231565,251186,315183,398746
2023-01-27,172902,231145,247539,313992,397448
2023-01-30,173437,232578,244267,310988,395407
2023-01-31,172743,240442,245517,310049,393607
2023-02-01,181747,243797,246976,309411,391930
2023-02-02,206263,253007,248560,309093,392439
2023-02-03,194852,247273,247345,306568,391607
2023-02-06,199106,212481,223142,302507,390259
2023-02-07,184277,204577,216887,298127,386530
2023-02-08,184797,189600,214816,294890,384116
2023-02-09,179400,181031,211708,288964,380131
2023-02-10,178248,175575,210484,287279,377508
2023-02-13,177114,175275,207964,284833,375582
2023-02-14,162052,167397,204612,283217,372620
2023-02-15,150179,165963,203860,280417,370377
2023-02-16,142559,174411,204057,279086,368427
2023-02-17,145524,170188,205334,277556,365728
2023-02-21,170093,184600,208384,278808,364283
2023-02-22,191654,187965,210324,277746,362135
2023-02-23,209198,196997,213348,276428,361229
2023-02-24,226347,202874,215455,275634,360065
2023-02-27,235763,207006,213580,273957,357628
2023-02-28,257256,217185,218048,273666,356934
2023-03-01,334938,248495,231587,277577,359875
2023-03-02,360484,255332,231979,278170,359990
2023-03-03,350243,246401,232244,276234,358404
2023-03-06,344762,245143,230233,274503,356654
2023-03-07,325298,247696,229623,267670,355963
2023-03-08,320989,256321,231413,266711,355123
2023-03-09,307953,258576,231963,260212,351167
2023-03-10,336634,281490,241102,263257,351358
2023-03-13,368558,302161,248972,265567,351408
2023-03-14,364329,310793,252771,265787,345748
2023-03-15,324712,329825,260517,267089,345264
2023-03-16,334674,347579,266586,265560,343182
2023-03-17,372452,361348,274253,267968,342924
2023-03-20,387343,366053,274435,268020,342280
2023-03-21,398576,361937,263786,267605,341350
2023-03-22,399337,360163,264227,266568,339781
2023-03-23,472598,390276,273790,272703,342225
2023-03-24,453641,395137,275737,272942,342606
2023-03-27,432126,400342,277519,273284,342894
2023-03-28,424765,394547,279380,271922,342931
2023-03-29,398759,361735,278641,271138,342124
2023-03-30,376747,355710,280766,270525,340894
2023-03-31,390650,381551,292433,273593,342474
2023-04-03,416577,401960,297812,277247,343304
2023-04-04,423750,411163,303365,278849,343355
2023-04-05,448706,424021,308992,281555,342510
2023-04-06,388403,430501,312590,282625,341897
2023-04-10,369857,411749,313176,282181,339081
2023-04-11,385904,409015,320120,283830,339832
2023-04-12,399850,412308,324663,284465,339957
2023-04-13,399579,399169,324008,284762,338987
2023-04-14,394974,385860,323412,285194,338436
2023-04-17,361035,375843,323388,285974,338834
2023-04-18,326776,371676,324196,285770,338213
2023-04-19,319489,371619,327441,275291,338028
2023-04-20,305057,376881,333148,275018,338587
2023-04-21,320880,354642,339807,277311,339233
2023-04-24,323642,346749,342024,276866,338735
2023-04-25,332520,359212,350974,280729,339576
2023-04-26,392549,396200,367750,287857,343052
2023-04-27,403522,401550,372302,288457,343308
2023-04-28,440361,417668,381448,292654,344325
2023-05-01,429526,395281,380781,292419,343264
2023-05-02,444385,385580,383968,294651,343583
2023-05-03,461713,390601,385765,297075,344782
2023-05-04,449941,377499,384806,297565,344157
2023-05-05,454818,387849,388931,301139,344521
2023-05-08,458393,391017,388433,301944,341978
2023-05-09,539753,436136,411772,312676,346927
2023-05-10,486793,439671,413657,315852,347730
2023-05-11,506872,455197,406689,319138,349477
2023-05-12,487014,463687,406754,319367,349830
2023-05-15,493681,461604,409469,320857,348961
2023-05-16,492344,468364,413485,321859,347601
2023-05-17,512495,487104,423205,326414,348611
2023-05-18,525451,487696,425698,328556,348837
2023-05-19,511725,483272,429685,330824,346419
2023-05-22,530678,494535,427242,334172,347122
2023-05-23,465208,502480,431102,340037,349821
2023-05-24,730097,608445,486811,369791,363277
2023-05-25,795900,651386,500926,380722,367812
2023-05-26,844690,665852,508757,387672,370835
2023-05-30,865182,679432,508015,391134,371333
2023-05-31,907443,699893,517505,395970,374234
2023-06-01,888770,700632,521243,392515,374966
2023-06-02,1004599,765025,546751,405489,380282
2023-06-05,1030550,771138,541275,407533,372886
2023-06-06,1031475,781076,542809,409273,372170
2023-06-07,1144509,804858,573579,425549,378782
2023-06-08,901982,816040,582254,430817,380576
2023-06-09,846930,821415,590560,434601,381924
2023-06-12,852515,848602,603911,442339,385273
2023-06-13,898342,881762,609553,450993,388958
2023-06-14,907431,907437,615675,456744,391654
2023-06-15,906344,897557,617762,460563,392564
2023-06-16,821242,912921,621258,465125,393037
2023-06-20,828677,929613,629330,470960,393986
2023-06-21,829738,930606,634785,473980,394582
2023-06-22,689124,916817,634223,477171,395582
2023-06-23,667933,784957,635871,480267,395628
2023-06-26,638247,742588,638294,481151,395600
2023-06-27,622287,737401,649373,486393,397902
2023-06-28,585661,742001,654478,488933,399013
2023-06-29,552286,729859,660778,492487,399527
2023-06-30,578074,742209,669479,498460,400484
